"filename", "language", "C++", "YAML", "Markdown", "Dart", "Groovy", "Properties", "JSON", "HTML", "XML", "Swift", "comment", "blank", "total"
"/Users/szabotamas/tiszapp_flutter/lib/viewmodels/authentication_viewmodel.dart", "Dart", 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 14, 126
"/Users/szabotamas/tiszapp_flutter/lib/viewmodels/main_menu_viewmodel.dart", "Dart", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 1, 11, 107
"/Users/szabotamas/tiszapp_flutter/lib/viewmodels/pictures_viewmodel.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 1, 10, 65
"/Users/szabotamas/tiszapp_flutter/lib/viewmodels/profile_viewmodel.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 6, 40
"/Users/szabotamas/tiszapp_flutter/lib/viewmodels/schedule_viewmodel.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 6, 49
"/Users/szabotamas/tiszapp_flutter/lib/viewmodels/scores_viewmodel.dart", "Dart", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 1, 10, 69
"/Users/szabotamas/tiszapp_flutter/lib/viewmodels/songs_viewmodel.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/szabotamas/tiszapp_flutter/lib/viewmodels/texts_viewmodel.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 6, 45
"/Users/szabotamas/tiszapp_flutter/lib/views/login_screen.dart", "Dart", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 16, 177
"/Users/szabotamas/tiszapp_flutter/lib/views/main_menu_screen.dart", "Dart", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 4, 99
"/Users/szabotamas/tiszapp_flutter/lib/views/pictures_screen.dart", "Dart", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 5, 52
"/Users/szabotamas/tiszapp_flutter/lib/views/profile_screen.dart", "Dart", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 3, 114
"/Users/szabotamas/tiszapp_flutter/lib/views/register_screen.dart", "Dart", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 10, 170
"/Users/szabotamas/tiszapp_flutter/lib/views/schedule_info_screen.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/szabotamas/tiszapp_flutter/lib/views/schedule_screen.dart", "Dart", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 7, 100
"/Users/szabotamas/tiszapp_flutter/lib/views/scores_screen.dart", "Dart", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 5, 98
